"","ActualEOD","ActualNTE","AvailableBudget","CountryName","DonorandFundingSource","Donor","FinancialsProjectFundingInstitution","FundingSource","GeographicalCoverage","LTODepartment","LTODivision","LTOUnit","LTUHQDecentralizedOffices","MajorProgrammeActivity","OriginalBudget","ProjectClassification","ProjectObjectives","ProjectStaffBudgetHolder","ProjectStaffLTOOfficer","ProjectStaffLTUOfficer","ProjectStaffProgrammeAssistance","ProjectStatuscode","ProjectStatus","ProjectSymbol","ProjectTitle","StrategicFrameworkOrganizationResult","StrategicFrameworkStrategicObjective","StrategicFrameworkUnitResult","TotalBudgetFPMIS","TotalBudgetDWH","staff"
"76",NA,NA,"$17,835 ","Regional Africa","Italy: MOFA - 2","Italy",NA,"TF","Regional","ES","ESS","ESSD","FAO HQ Organization","","$1,000,000 ","Assistance to Member Countries","Contribute to regional integration and effective implementation of the Agricultural and Rural Development Strategy of the Eastern African Community and food security policies in member countries (with specific focus on Burundi, Kenya and Uganda) through availability and access to relevant, harmonized and reliable data on food and agriculture within a sustainable agricultural statistics system.","Nyarko-Badohu, K.","N'Goma-Kimbatsa, P.","","","OA","Operationally Active","GTFS/RAF/465/ITA","Strengthening capacity of selected member countries of the East African Community in agricultural statistics for food security - Burundi, Kenya, Uganda, Tanzania and Rwanda","102, 103","1","10201, 10301","$1,000,000 ","$1,000,000 ","Nyarko-Badohu, K. N'Goma-Kimbatsa, P.  "
"77",NA,NA,"$159,747 ","Global","BMG","BMG",NA,"TF","Global","ES","ESS","ESS","FAO HQ Organization","","$6,569,304 ","Assistance to Member Countries","key objectives: 1) Strengthening the CountrySTAT systems established in the 17 Sub-Saharan countries and promoting the use of data: updating and strengthening the technical capacity of national staff, promoting high level Government commitment, strengthening technical and coordination institutions; improving data quality and improving the relevance and use of data through partnership with key data users; 2) Development of new IT tools and functions for CountrySTAT for easy maintenance and updating by CountrySTAT technical staff and for user friendly access by users: developing new standards tools, including distance learning tools, improving the functionalities of existing systems; 3) Strengthening the partnerships with relevant Regional Organizations in order to ensure the long-term sustainability of the systems by building capacity of a pool of regional and national experts and competent trainers able to provide technical support on continuous basis through regional institutions (UEMOA and EAC) or as South-South cooperation","Gennari, P.","","Grita, F.","Cukic, I.","OA","Operationally Active","MTF /GLO/345/BMG","CountrySTAT for Sub-Saharan Africa: Strengthening the CountrySTAT System established in 17 Sub-Saharan African Countries - Phase II of GCP/GLO/208/BMG  (Grant OPPGD1452)","602","6","60202","$6,569,304 ","$6,569,304 ","Gennari, P.  Grita, F. Cukic, I."
"78",NA,NA,"$2,097,093 ","Global","BMG; Italy; Multilateral; UK","Multilateral: BMG (0%); UK (0%); Multilateral (100%); Italy (0%)",NA,"TF","Global","ES","ESS","ESSDD","FAO HQ Organization","","$2,109,376 ","Assistance to Member Countries","Support implementation of the Global Strategy at the global, regional, and national levels.","Gennari, P.","Duhamel, M.","","","OA","Operationally Active","MTF /GLO/372/MUL","Global Component- Global Strategy to Improve Agricultural and Rural Statistics","602","6","60201","$12,076,112 ","$12,076,112 ","Gennari, P. Duhamel, M.  "
"79",NA,NA,"$2,192 ","Regional Near East","Multilateral; UK","Multilateral: Multilateral (100%); UK (0%)",NA,"TF","Regional","ES","ESS","ESS","FAO HQ Organization","","$50,000 ","Assistance to Member Countries","The Near East Regional Componente directly addresses the three pillars forming the foundation of the Global Strategy: 
1. Establishing a minimum set of core data that countries will disseminate on a regular basis to meet current and emerging demands;
2. Integrating agriculture into national statistical systems in order to meet the requirements of policy makers and other data users that statistical information be linked across the economic, social, and environmental domains ;
3. Fostering the sustainability of the agricultural statistical systems through governance and statistical capacity building.","Ettel, T.","","Barre, M.","Abdelwarth, M.","OA","Operationally Active","MTF /RAB/372/MUL","Near East Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","602","6","60202","$90,682 ","$90,682 ","Ettel, T.  Barre, M. Abdelwarth, M."
"80",NA,NA,"$0 ","Regional Africa","BMG; Multilateral; UK","Multilateral: BMG (50%); UK (50%); Multilateral (0%)",NA,"TF","Regional","ES","ESS","ESS","FAO HQ Organization","","$0 ","Infrastructure, Administration & Support","The African Regional Componente directly addresses the three pillars forming the foundation of the Global Strategy: 1. Establishing a minimum set of core data that countries will disseminate on a regular basis to meet current and emerging demands; 2. Integrating agriculture into national statistical systems in order to meet the requirements of policy makers and other data users that statistical information be linked across the economic, social, and environmental domains ; 3. Fostering the sustainability of the agricultural statistical systems through governance and statistical capacity building","Oqvist, C.","Duhamel, M.","","","OA","Operationally Active","MTF /RAF/372/MUL-AFDB","African Development Bank- Regional Component in Africa- Global Strategy to Improve Agricultural and Rural Statistics","602","6","60202","$7,081,669 ","$7,081,669 ","Oqvist, C. Duhamel, M.  "
"81",NA,NA,"($3,160,154)","ECA - United Nations Commission for Africa (UNECA)","BMG; Multilateral; UK: DFID","Multilateral: BMG (50%); UK (50%); Multilateral (0%)",NA,"TF","Regional","ES","ESS","ESS","FAO HQ Organization","","$506,100 ","Infrastructure, Administration & Support","Contribute to output 4","Oqvist, C.","Duhamel, M.","","","OA","Operationally Active","MTF /RAF/485/MUL - ECA","Global Strategy - UNECA component","602","6","60202","$506,100 ","$506,100 ","Oqvist, C. Duhamel, M.  "
"82",NA,NA,"$1,207,728 ","Regional Asia & Pacific","Multilateral","Multilateral",NA,"TF","Regional","RO","RAP","RAPTE","FAO Decentralized offices","","$375,140 ","Assistance to Member Countries","The Asian Regional Componente directly addresses the three pillars forming the foundation of the Global Strategy: 
1. Establishing a minimum set of core data that countries will disseminate on a regular basis to meet current and emerging demands;
2. Integrating agriculture into national statistical systems in order to meet the requirements of policy makers and other data users that statistical information be linked across the economic, social, and environmental domains ;
3. Fostering the sustainability of the agricultural statistical systems through governance and statistical capacity building.","Sobey, A.","Srivastava, M.","Gennari, P.","","OA","Operationally Active","MTF /RAS/372/MUL","Asian Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","602","6","60202","$3,462,307 ","$3,462,307 ","Sobey, A. Srivastava, M. Gennari, P. "
"83",NA,NA,"$0 ","Economic and Social Commission for Asia and the Pacific (ESCAP)","Multilateral","Multilateral",NA,"TF","Regional","ES","ESS","ESS","FAO HQ Organization","","$746,441 ","Infrastructure, Administration & Support","Enhance capacities at regional level","Oqvist, C.","Duhamel, M.","","","OA","Operationally Active","MTF /RAS/485/MUL - ESCA","Global Strategy - UNESCAP component","602","6","60202","$1,259,984 ","$1,259,984 ","Oqvist, C. Duhamel, M.  "
"84",NA,NA,"$8,526 ","Regional Latin America","Multilateral","Multilateral",NA,"TF","Regional","ES","ESS","ESS","FAO HQ Organization","","$90,000 ","Assistance to Member Countries","The Latin America Regional Componente directly addresses the three pillars forming the foundation of the Global Strategy: 
1. Establishing a minimum set of core data that countries will disseminate on a regular basis to meet current and emerging demands; 
2. Integrating agriculture into national statistical systems in order to meet the requirements of policy makers and other data users that statistical information be linked across the economic, social, and environmental domains ; 
3. Fostering the sustainability of the agricultural statistical systems through governance and statistical capacity building","Mengarelli, M.","","Boero, V.","","OA","Operationally Active","MTF /RLA/372/MUL","Latin America Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","602","6","60202","$140,000 ","$140,000 ","Mengarelli, M.  Boero, V. "
"85",NA,NA,"$19,786 ","SEU  - Subregional Office for Central and Eastern Europe, Budapest","Multilateral","Multilateral",NA,"TF","Sub Regional","RO","REU","REUTD","FAO Decentralized offices","","$48,000 ","Assistance to Member Countries","The CIS Regional Componente directly addresses the three pillars forming the foundation of the Global Strategy: 
1. Establishing a minimum set of core data that countries will disseminate on a regular basis to meet current and emerging demands;
2. Integrating agriculture into national statistical systems in order to meet the requirements of policy makers and other data users that statistical information be linked across the economic, social, and environmental domains ;
3. Fostering the sustainability of the agricultural statistical systems through governance and statistical capacity building.","Jehle, R.","","Tayyib, S.","Csikasz, A.","OA","Operationally Active","MTF/RER/372/MUL","CIS Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","602","6","60202","$88,000 ","$88,000 ","Jehle, R.  Tayyib, S. Csikasz, A."
"86",NA,NA,"$28,493 ","Global","United Nations Convention to combat desertification (UNCCD)","United Nations Convention to combat desertification (UNCCD)",NA,"TF","Global","ES","ESS","ESSS","FAO HQ Organization","","$61,163 ","Assistance to Member Countries","To assist the UNCCD secretariat in implementing the new Performance Review and Assessment of Information System (PRAIS): a country reporting system based on performance and impact indicators that aims at producing periodic quantitative reports on the Convention's objectives","Schmidhuber, J.","","Prakash, A.","","OA","Operationally Active","UNJP/GLO/451/CCD","Facilitation and Monitoring of Implementation Unit of the UNCCD secretariat and Statistics Division of FAO partnership to compile and analyze the performance and impact indicators of the PRAIS reporting system","","","","$61,163 ","$61,163 ","Schmidhuber, J.  Prakash, A. "
"87",NA,NA,"$132,187 ","Global","ECA - United Nations Commission for Africa (UNECA)","ECA - United Nations Commission for Africa (UNECA)",NA,"TF","Global","ES","ESS","ESSDD","FAO HQ Organization","","$260,000 ","Assistance to Member Countries","Establishment of a monitoring system for food market prices in Cameroon, Gambia and Zimbabwe","Gennari, P.","","Grita, F.","Cukic, I.","OA","Operationally Active","UNJP/GLO/610/ECA","Establishment of a monitoring system for food market prices in Cameroon, Gambia and Zimbabwe","602","6","60202","$260,000 ","$260,000 ","Gennari, P.  Grita, F. Cukic, I."
"88",NA,NA,"$3,370,265 ","Congo, Republic of","Congo, Rep","Congo, Rep",NA,"TF","Country","RO","RAF","RAFT","FAO Decentralized offices","","$7,729,390 ","Assistance to Member Countries","L?objectif global du présent projet est de contribuer à la réduction de la pauvreté et de l?insécurité alimentaire grâce à des stratégies et politiques plus efficaces définies et mises en ?uvre sur la base d?informations statistiques structurelles fiables, pertinentes et actuelles et asseoir un système d'information pouvant stimuler la croissance du secteur agricole, et dynamiser les espaces ruraux. 


L?objectif spécifique du projet est de renforcer le système national de statistiques agricoles et améliorer la disponibilité des données agricoles par la réalisation du prochain Recensement Général de l?Agriculture (RGA) et son utilisation future comme base de la mise en place d?un système permanent de production statistique sur le secteur agricole.","Percy Filippini, M.","","N'Goma-Kimbatsa, P.","","OA","Operationally Active","UTF /PRC/014/PRC","Recensement Général de l`Agriculture  (RGA) et ContrySTAT","204","2","20401","$7,652,668 ","$7,652,667 ","Percy Filippini, M.  N'Goma-Kimbatsa, P. "
"89",NA,NA,"$11,060 ","Suriname","Suriname","Suriname",NA,"TF","Country","ES","ESS","ESSS","FAO HQ Organization","[3D ] Agriculture information and statistics","$236,965 ","Assistance to Member Countries","The long-term (development) objective of the project is: a satisfactory performance of the agricultural sector taking place and food security ensured through effective planning and monitoring based on accurate baseline data and a flow of relevant, reliable and timely data on agriculture, livestock and aquaculture in support of the national agricultural development strategy.","Fletcher Paul, L.","","Boero, V.","","OA","Operationally Active","UTF /SUR/002/SUR","Census of Agriculture 2006","","","","$236,856 ","$236,856 ","Fletcher Paul, L.  Boero, V. "
"90",NA,NA,"$8,438 ","Armenia, Republic of","UNDP","UNDP",NA,"UN","Country","ES","ESS","ESS","FAO HQ Organization","","$19,000 ","Assistance to Member Countries","Support to Comprehensive Agricultural Censusus Phase II: Support to the Full-scale Agricultural Census in Armenia","Boedeker, G.","","Kvinikadze, G.","Kulzhanova, M.","OA","Operationally Active","ARM/14/001//01/34","Support to Comprehensive Agricultural Censusus Phase II: Support to the Full-scale Agricultural Census in Armenia","204","2","20403","$19,000 ","$19,000 ","Boedeker, G.  Kvinikadze, G. Kulzhanova, M."
